INDEX,DIRECCION,NUMERO,LOCALIDAD,PROVINCIA,TIPO_UBICACION,LONGITUD,LATITUD
2400,MENDOZA NORTE,1086,SAN JUAN,SJ,ALMACEN/AUTOSERV,-68.52803,-31.521859999999997
2401,MENDOZA,2279,BELGRANO,CF,AGE. DE LOTE,-58.45633,-34.560359999999996
2402,MENDOZA,2451,BELGRANO,CF,AGE. DE LOTE,-58.45802,-34.56138
2403,MENDOZA,1703,BELGRANO,CF,AGE. DE LOTE,-58.45089,-34.55713
2404,MENDOZA,2663,BELGRANO,CF,AGE. DE LOTE,-58.45995,-34.562490000000004
2405,MENDOZA,3893,COSTA AZUL,BA,KIOSCO,-56.67945,-36.67395
2406,MENDOZA,3719,FONTANA,CH,KIOSCO,-59.01781,-27.434540000000002
2407,MENDOZA,1509,GENERAL ROCA,RN,ALMACEN/AUTOSERV,-67.56401,-39.02988
2408,MENDOZA,1715,GENERAL ROCA,RN,KIOSCO,-67.56361,-39.02775
2409,MENDOZA,4746,LA LUCILA DEL MAR,BA,COMERCIO,-56.68079,-36.66328
